time,car,microbus,autobus,camion
2015-03-25 13:00:00,6,2,3,0
2015-03-25 01:01:00,20,6,2,1
2015-03-25 13:02:00,13,4,3,0
2015-03-25 13:03:00,28,3,3,0
2015-03-25 13:04:00,11,5,1,0
2015-03-25 13:05:00,8,3,1,1
2015-03-25 13:06:00,9,5,1,0
2015-03-25 13:07:00,23,5,1,0
2015-03-25 13:08:00,8,5,2,0
2015-03-25 13:09:00,18,3,1,0
2015-03-25 13:10:00,14,3,1,1
2015-03-25 13:11:00,7,2,0,1
2015-03-25 13:12:00,15,2,4,2
2015-03-25 13:13:00,24,4,1,0
2015-03-25 13:14:00,10,1,0,0
2015-03-25 13:15:00,12,4,2,0
2015-03-25 13:16:00,18,2,3,0
2015-03-25 13:17:00,16,3,1,1
2015-03-25 13:18:00,15,5,2,3
2015-03-25 13:19:00,8,3,0,0
2015-03-25 13:20:00,10,2,1,1
2015-03-25 13:21:00,17,3,0,0
2015-03-25 13:22:00,17,5,3,2
2015-03-25 13:23:00,13,4,3,0
2015-03-25 13:24:00,16,4,1,1
2015-03-25 13:25:00,13,3,3,0
2015-03-25 13:26:00,18,3,2,1
2015-03-25 13:27:00,16,5,2,0
2015-03-25 13:28:00,18,3,1,0
2015-03-25 13:29:00,12,4,1,1
2015-03-25 13:30:00,13,4,2,1
2015-03-25 13:31:00,11,5,1,0
2015-03-25 13:32:00,15,5,1,0
2015-03-25 13:33:00,18,2,2,1
2015-03-25 13:34:00,20,3,1,0
2015-03-25 13:35:00,9,1,5,0
2015-03-25 13:36:00,14,7,5,0
2015-03-25 13:37:00,14,4,4,0
2015-03-25 13:38:00,23,3,0,1
2015-03-25 13:39:00,13,5,1,0
2015-03-25 13:40:00,13,2,2,1
2015-03-25 13:41:00,12,2,1,0
2015-03-25 13:42:00,13,3,1,0
2015-03-25 13:43:00,10,3,0,0
2015-03-25 13:44:00,10,3,0,0
2015-03-25 13:45:00,9,2,1,0
2015-03-25 13:46:00,13,2,4,0
2015-03-25 13:47:00,15,2,2,0
2015-03-26 06:55:00,14,4,3,0
2015-03-26 06:56:00,15,4,0,0
2015-03-26 06:57:00,9,3,2,0
2015-03-26 06:58:00,10,3,2,1
2015-03-26 06:59:00,12,4,1,0
2015-03-26 07:00:00,6,4,1,0
2015-03-26 07:01:00,15,0,1,0
2015-03-26 07:02:00,8,0,3,1
2015-03-26 07:03:00,11,3,1,0
2015-03-26 07:04:00,12,2,2,0
2015-03-26 07:05:00,14,6,1,1
2015-03-26 07:06:00,19,3,0,0
2015-03-26 07:07:00,13,3,1,0
2015-03-26 07:08:00,17,1,1,0
2015-03-26 07:09:00,26,4,2,1
2015-03-26 07:10:00,18,3,2,0
2015-03-26 07:11:00,13,5,1,0
2015-03-26 07:12:00,18,7,0,0
2015-03-26 07:13:00,10,7,1,0
2015-03-26 07:14:00,13,2,1,0
2015-03-26 07:15:00,20,3,0,0
2015-03-26 07:16:00,18,3,1,0
2015-03-26 07:17:00,17,1,0,0
2015-03-26 07:18:00,17,2,2,0
2015-03-26 07:19:00,23,3,0,0
2015-03-26 07:20:00,16,6,2,1
2015-03-26 07:21:00,19,2,0,0
2015-03-26 07:22:00,14,2,3,1
2015-03-26 07:23:00,19,3,4,0
2015-03-26 07:24:00,19,2,3,0
2015-03-26 07:25:00,16,1,2,0
2015-03-26 07:26:00,15,7,3,1
2015-03-26 07:27:00,15,1,3,0
2015-03-26 07:28:00,21,1,1,0
2015-03-26 07:29:00,14,4,0,0
2015-03-26 07:30:00,14,6,0,0
2015-03-26 07:31:00,16,6,1,0
2015-03-26 07:32:00,15,6,4,0
2015-03-26 07:33:00,19,5,1,0
2015-03-26 07:34:00,21,4,1,0
2015-03-26 07:35:00,27,2,2,0
2015-03-26 07:36:00,20,3,3,0
